"Level_id","Agg_Level_1","Agg_Level_2","Dollar_Sales","weight"
"Level12","HOBBIES_1_001","CA_1",276.54,7.0889951e-05
"Level12","HOBBIES_1_002","CA_1",27.79,7.123858e-06
"Level12","HOBBIES_1_003","CA_1",62.37,1.5988306e-05
"Level12","HOBBIES_1_004","CA_1",227.36,5.828285e-05
"Level12","HOBBIES_1_005","CA_1",112.32,2.8792794e-05
"Level12","HOBBIES_1_006","CA_1",28.8,7.382768e-06
"Level12","HOBBIES_1_007","CA_1",63.04,1.6160058e-05
"Level12","HOBBIES_1_008","CA_1",147.36,3.7775162e-05
"Level12","HOBBIES_1_009","CA_1",31.86,8.167187e-06
"Level12","HOBBIES_1_010","CA_1",44.55,1.1420219e-05
"Level12","HOBBIES_1_011","CA_1",3.48,8.92084e-07
"Level12","HOBBIES_1_012","CA_1",45.64,1.1699636e-05
"Level12","HOBBIES_1_013","CA_1",25.61,6.565024e-06
"Level12","HOBBIES_1_014","CA_1",49.88,1.2786544e-05
"Level12","HOBBIES_1_015","CA_1",49.7,1.2740401e-05
"Level12","HOBBIES_1_016","CA_1",103.6,2.6557456e-05
"Level12","HOBBIES_1_017","CA_1",89.1,2.2840438e-05
"Level12","HOBBIES_1_018","CA_1",35.64,9.136175e-06
"Level12","HOBBIES_1_019","CA_1",93.12,2.3870949e-05
"Level12","HOBBIES_1_020","CA_1",25.36,6.500937e-06
"Level12","HOBBIES_1_021","CA_1",403.92,0.000103543318
"Level12","HOBBIES_1_022","CA_1",28.72,7.36226e-06
"Level12","HOBBIES_1_023","CA_1",118.8,3.0453917e-05
"Level12","HOBBIES_1_024","CA_1",42.8,1.0971613e-05
"Level12","HOBBIES_1_025","CA_1",59.7,1.5303862e-05
"Level12","HOBBIES_1_026","CA_1",89.85,2.3032697e-05
"Level12","HOBBIES_1_027","CA_1",299.7,7.6826927e-05
"Level12","HOBBIES_1_028","CA_1",207.48,5.3186689e-05
"Level12","HOBBIES_1_029","CA_1",368.18,9.4381508e-05
"Level12","HOBBIES_1_030","CA_1",93.1,2.3865822e-05
"Level12","HOBBIES_1_031","CA_1",43.92,1.1258721e-05
"Level12","HOBBIES_1_032","CA_1",87.78,2.2502061e-05
"Level12","HOBBIES_1_033","CA_1",101.16,2.5931972e-05
"Level12","HOBBIES_1_034","CA_1",63.18,1.6195947e-05
"Level12","HOBBIES_1_035","CA_1",2.12,5.43454e-07
"Level12","HOBBIES_1_036","CA_1",28,7.177691e-06
"Level12","HOBBIES_1_037","CA_1",246.43,6.317137e-05
"Level12","HOBBIES_1_038","CA_1",57.96,1.485782e-05
"Level12","HOBBIES_1_039","CA_1",5.88,1.507315e-06
"Level12","HOBBIES_1_040","CA_1",320.01,8.2033316e-05
"Level12","HOBBIES_1_041","CA_1",37.98,9.736025e-06
"Level12","HOBBIES_1_042","CA_1",101.79,2.609347e-05
"Level12","HOBBIES_1_043","CA_1",32.2,8.254345e-06
"Level12","HOBBIES_1_044","CA_1",20.72,5.311491e-06
"Level12","HOBBIES_1_045","CA_1",31.74,8.136425e-06
"Level12","HOBBIES_1_046","CA_1",430.56,0.000110372378
"Level12","HOBBIES_1_047","CA_1",60.18,1.5426908e-05
"Level12","HOBBIES_1_048","CA_1",217.44,5.5739897e-05
