M4id,category,Frequency,Horizon,SP,StartingDate
H1,Other,24,48,Hourly,1/7/15 12:00
H2,Other,24,48,Hourly,1/7/15 12:00
H3,Other,24,48,Hourly,1/7/15 12:00
H4,Other,24,48,Hourly,1/7/15 12:00
H5,Other,24,48,Hourly,1/7/15 12:00
H6,Other,24,48,Hourly,2/7/15 8:00
H7,Other,24,48,Hourly,1/7/15 12:00
H8,Other,24,48,Hourly,1/7/15 12:00
H9,Other,24,48,Hourly,1/7/15 12:00
H10,Other,24,48,Hourly,1/7/15 12:00
H11,Other,24,48,Hourly,1/7/15 12:00
H12,Other,24,48,Hourly,1/7/15 12:00
H13,Other,24,48,Hourly,1/7/15 12:00
H14,Other,24,48,Hourly,1/7/15 12:00
H15,Other,24,48,Hourly,1/7/15 12:00
H16,Other,24,48,Hourly,1/7/15 12:00
H17,Other,24,48,Hourly,1/7/15 12:00
H18,Other,24,48,Hourly,1/7/15 12:00
H19,Other,24,48,Hourly,1/7/15 12:00
H20,Other,24,48,Hourly,1/7/15 12:00
H21,Other,24,48,Hourly,1/7/15 12:00
H22,Other,24,48,Hourly,1/7/15 12:00
H23,Other,24,48,Hourly,1/7/15 12:00
H24,Other,24,48,Hourly,1/7/15 8:00
H25,Other,24,48,Hourly,1/7/15 12:00
H26,Other,24,48,Hourly,1/7/15 12:00
H27,Other,24,48,Hourly,1/7/15 12:00
H28,Other,24,48,Hourly,1/7/15 12:00
H29,Other,24,48,Hourly,1/7/15 12:00
H30,Other,24,48,Hourly,1/7/15 12:00
H31,Other,24,48,Hourly,1/7/15 12:00
H32,Other,24,48,Hourly,1/7/15 12:00
H33,Other,24,48,Hourly,1/7/15 12:00
H34,Other,24,48,Hourly,1/7/15 12:00
H35,Other,24,48,Hourly,1/7/15 12:00
H36,Other,24,48,Hourly,1/7/15 12:00
H37,Other,24,48,Hourly,1/7/15 12:00
H38,Other,24,48,Hourly,1/7/15 12:00
H39,Other,24,48,Hourly,1/7/15 12:00
H40,Other,24,48,Hourly,1/7/15 12:00
H41,Other,24,48,Hourly,1/7/15 12:00
H42,Other,24,48,Hourly,1/7/15 12:00
H43,Other,24,48,Hourly,1/7/15 12:00
H44,Other,24,48,Hourly,1/7/15 12:00
H45,Other,24,48,Hourly,1/7/15 12:00
H46,Other,24,48,Hourly,1/7/15 12:00
H47,Other,24,48,Hourly,1/7/15 12:00
H48,Other,24,48,Hourly,1/7/15 12:00
H49,Other,24,48,Hourly,1/7/15 12:00
H50,Other,24,48,Hourly,1/7/15 12:00
H51,Other,24,48,Hourly,1/7/15 12:00
H52,Other,24,48,Hourly,1/7/15 12:00
H53,Other,24,48,Hourly,1/7/15 12:00
H54,Other,24,48,Hourly,1/7/15 12:00
H55,Other,24,48,Hourly,1/7/15 12:00
H56,Other,24,48,Hourly,1/7/15 12:00
H57,Other,24,48,Hourly,1/7/15 12:00
H58,Other,24,48,Hourly,1/7/15 12:00
H59,Other,24,48,Hourly,1/7/15 12:00
H60,Other,24,48,Hourly,1/7/15 12:00
H61,Other,24,48,Hourly,1/7/15 12:00
H62,Other,24,48,Hourly,1/7/15 12:00
H63,Other,24,48,Hourly,1/7/15 12:00
H64,Other,24,48,Hourly,1/7/15 12:00
H65,Other,24,48,Hourly,2/7/15 8:00
H66,Other,24,48,Hourly,1/7/15 12:00
H67,Other,24,48,Hourly,1/7/15 12:00
H68,Other,24,48,Hourly,1/7/15 12:00
H69,Other,24,48,Hourly,1/7/15 12:00
H70,Other,24,48,Hourly,1/7/15 12:00
H71,Other,24,48,Hourly,1/7/15 12:00
H72,Other,24,48,Hourly,1/7/15 12:00
H73,Other,24,48,Hourly,1/7/15 12:00
H74,Other,24,48,Hourly,1/7/15 12:00
H75,Other,24,48,Hourly,1/7/15 12:00
H76,Other,24,48,Hourly,1/7/15 12:00
H77,Other,24,48,Hourly,1/7/15 12:00
H78,Other,24,48,Hourly,1/7/15 12:00
H79,Other,24,48,Hourly,1/7/15 12:00
H80,Other,24,48,Hourly,1/7/15 12:00
H81,Other,24,48,Hourly,1/7/15 12:00
H82,Other,24,48,Hourly,1/7/15 12:00
